car_name,car_price_in_rupees,kms_driven,fuel_type,city,year_of_manufacture
Maruti Suzuki Wagon R 1.0 VXI,₹ 1.20 Lakh,"85,195 km",CNG,Mumbai,2018
Mercedes-Benz E-Class E220d,₹ 49.39 Lakh,"102,162 km",Diesel,Ahmedabad,2019
Kia Sonet GTX,₹ 8.50 Lakh,"76,764 km",CNG,Hyderabad,2020
Tata Safari XZ+,₹ 4.56 Lakh,"73,918 km",Petrol,Chennai,2019
Kia Carens Prestige,₹ 2.90 Lakh,"163,507 km",CNG,Thane,2014
Kia Carens Prestige,₹ 9.02 Lakh,"42,299 km",CNG,Mumbai,2021
Kia Seltos GTX,₹ 7.81 Lakh,"92,874 km",Diesel,Hyderabad,2019
Mahindra Thar LX,₹ 6.03 Lakh,"133,471 km",Diesel,Pune,2016
BMW 3 Series 320d,₹ 43.56 Lakh,"1,500 km",Petrol,Hyderabad,2023
Maruti Suzuki Alto 800 LXi,₹ 1.20 Lakh,"124,318 km",Petrol,Mumbai,2015
Toyota Fortuner 2.8 4x2,₹ 9.00 Lakh,"81,505 km",Petrol,Kolkata,2019
Mahindra XUV500 W8,₹ 9.97 Lakh,"51,476 km",CNG,Delhi,2021
Honda Amaze VX,₹ 1.20 Lakh,"136,711 km",CNG,Chennai,2013
Toyota Glanza G,₹ 9.88 Lakh,"51,907 km",CNG,Hyderabad,2021
Tata Nexon XZ+,₹ 5.75 Lakh,"67,256 km",Diesel,Ahmedabad,2021
Mahindra XUV500 W8,₹ 7.27 Lakh,"90,149 km",Diesel,Delhi,2018
Mahindra Scorpio S11,₹ 8.55 Lakh,"85,598 km",CNG,Thane,2019
Tata Safari XZ+,₹ 4.80 Lakh,"76,626 km",Diesel,Noida,2019
Toyota Glanza G,₹ 6.71 Lakh,"131,603 km",Diesel,Noida,2016
Kia Sonet GTX,₹ 2.19 Lakh,"166,925 km",Diesel,Ahmedabad,2012
Toyota Innova Crysta GX,₹ 6.78 Lakh,"111,706 km",CNG,Pune,2016
Audi A4 35 TDI,₹ 29.96 Lakh,"181,849 km",Diesel,Chennai,2013
Toyota Etios Liva G,₹ 10.57 Lakh,"49,892 km",Petrol,Delhi,2022
Kia Carens Prestige,₹ 4.90 Lakh,"124,289 km",Diesel,Noida,2015
Audi Q5 quattro,₹ 33.66 Lakh,"95,271 km",Petrol,Ahmedabad,2017
Tata Tiago XT,₹ 2.44 Lakh,"133,962 km",Petrol,Delhi,2016
Mahindra XUV500 W8,₹ 10.52 Lakh,"21,175 km",Petrol,Hyderabad,2023
BMW 5 Series 520d,₹ 43.23 Lakh,"36,455 km",Petrol,Delhi,2023
Tata Harrier XZ,₹ 2.84 Lakh,"113,868 km",CNG,Bangalore,2017
Maruti Suzuki Ciaz ZXI+,₹ 2.94 Lakh,"42,829 km",Petrol,Kolkata,2023
Maruti Suzuki Ciaz ZXI+,₹ 1.45 Lakh,"78,144 km",Petrol,Pune,2019
BMW 3 Series 320d,₹ 34.24 Lakh,"162,460 km",Petrol,Kolkata,2013
Maruti Suzuki Baleno Delta 1.2,₹ 1.20 Lakh,"159,976 km",Petrol,Hyderabad,2014
Kia Carens Prestige,₹ 10.21 Lakh,"37,846 km",CNG,Hyderabad,2021
Kia Sonet GTX,₹ 8.14 Lakh,"84,311 km",Diesel,Pune,2019
Maruti Suzuki Swift VXi,₹ 1.20 Lakh,"152,289 km",CNG,Hyderabad,2015
Hyundai Creta SX,₹ 1.20 Lakh,"139,183 km",Petrol,Chennai,2015
Mercedes-Benz E-Class E220d,₹ 47.24 Lakh,"129,207 km",Diesel,Hyderabad,2016
Tata Safari XZ+,₹ 1.20 Lakh,"150,558 km",CNG,Noida,2013
Toyota Etios Liva G,₹ 4.84 Lakh,"135,843 km",CNG,Hyderabad,2013
Tata Harrier XZ,₹ 1.20 Lakh,"180,809 km",CNG,Noida,2013
BMW 3 Series 320d,₹ 40.12 Lakh,"96,790 km",Petrol,Chennai,2019
Audi Q5 quattro,₹ 34.98 Lakh,"74,021 km",Petrol,Ahmedabad,2019
Maruti Suzuki Swift VXi,₹ 1.20 Lakh,"143,175 km",CNG,Noida,2015
Maruti Suzuki Ciaz ZXI+,₹ 2.37 Lakh,"84,522 km",Diesel,Thane,2021
Tata Harrier XZ,₹ 7.14 Lakh,"70,042 km",Diesel,Kolkata,2021
BMW 5 Series 520d,₹ 39.20 Lakh,"92,066 km",Diesel,Ahmedabad,2018
BMW 5 Series 520d,₹ 40.83 Lakh,"68,479 km",Petrol,Thane,2022
Hyundai Elite i20 Sportz,₹ 1.42 Lakh,"110,868 km",Diesel,Thane,2016
Maruti Suzuki S-Presso VXi,₹ 1.20 Lakh,"129,494 km",Petrol,Hyderabad,2018
Mercedes-Benz E-Class E220d,₹ 51.32 Lakh,"49,349 km",Petrol,Thane,2022
Tata Safari XZ+,₹ 7.23 Lakh,"42,391 km",Diesel,Delhi,2023
Mercedes-Benz C-Class C200,₹ 52.02 Lakh,"49,265 km",Petrol,Delhi,2023
Hyundai Venue S,₹ 1.20 Lakh,"173,735 km",CNG,Bangalore,2013
Tata Tiago XT,₹ 3.56 Lakh,"118,063 km",Petrol,Kolkata,2018
Kia Seltos GTX,₹ 10.38 Lakh,"36,033 km",CNG,Bangalore,2021
Tata Safari XZ+,₹ 3.14 Lakh,"126,085 km",Petrol,Pune,2017
Mercedes-Benz GLA 220d,₹ 51.86 Lakh,"47,264 km",Petrol,Bangalore,2022
BMW 5 Series 520d,₹ 38.86 Lakh,"98,765 km",Petrol,Ahmedabad,2017
Toyota Corolla Altis G,₹ 7.14 Lakh,"96,184 km",Petrol,Chennai,2018
BMW X1 sDrive20d,₹ 40.17 Lakh,"87,632 km",Diesel,Kolkata,2018
Honda BR-V VX,₹ 5.87 Lakh,"76,625 km",Diesel,Delhi,2021
BMW 3 Series 320d,₹ 41.28 Lakh,"78,785 km",Diesel,Chennai,2020
Honda City VX,₹ 4.17 Lakh,"87,874 km",Diesel,Ahmedabad,2019
Kia Carens Prestige,₹ 3.63 Lakh,"175,005 km",CNG,Chennai,2013
BMW X1 sDrive20d,₹ 35.13 Lakh,"154,165 km",Diesel,Hyderabad,2012
Tata Harrier XZ,₹ 7.22 Lakh,"69,007 km",CNG,Delhi,2023
Tata Nexon XZ+,₹ 1.20 Lakh,"190,867 km",Diesel,Mumbai,2012
Mahindra Thar LX,₹ 3.38 Lakh,"149,450 km",CNG,Bangalore,2014
Hyundai Verna SX,₹ 1.76 Lakh,"113,359 km",CNG,Hyderabad,2018
Mercedes-Benz C-Class C200,₹ 47.28 Lakh,"128,086 km",Petrol,Mumbai,2015
BMW 5 Series 520d,₹ 42.11 Lakh,"55,220 km",Diesel,Delhi,2022
Mahindra Scorpio S11,₹ 6.35 Lakh,"116,897 km",Diesel,Kolkata,2016
Toyota Etios Liva G,₹ 8.53 Lakh,"79,337 km",Petrol,Hyderabad,2019
Mahindra Scorpio S11,₹ 4.91 Lakh,"135,027 km",CNG,Chennai,2016
Mercedes-Benz GLA 220d,₹ 53.41 Lakh,"40,539 km",Diesel,Noida,2023
Tata Harrier XZ,₹ 5.63 Lakh,"67,704 km",Petrol,Noida,2021
Honda City VX,₹ 5.88 Lakh,"45,007 km",CNG,Mumbai,2022
BMW 3 Series 320d,₹ 41.55 Lakh,"60,791 km",Petrol,Ahmedabad,2021
Honda Jazz VX,₹ 1.20 Lakh,"153,781 km",CNG,Ahmedabad,2014
Tata Harrier XZ,₹ 2.69 Lakh,"149,726 km",Diesel,Ahmedabad,2016
BMW 3 Series 320d,₹ 37.13 Lakh,"134,176 km",Diesel,Chennai,2014
Audi Q3 Premium,₹ 30.13 Lakh,"161,507 km",Diesel,Kolkata,2013
Tata Safari XZ+,₹ 7.56 Lakh,"51,056 km",Diesel,Delhi,2022
BMW 3 Series 320d,₹ 41.49 Lakh,"76,507 km",Diesel,Delhi,2021
BMW X1 sDrive20d,₹ 36.86 Lakh,"114,755 km",Petrol,Delhi,2016
Maruti Suzuki Ciaz ZXI+,₹ 1.20 Lakh,"95,544 km",CNG,Bangalore,2019
Mahindra Scorpio S11,₹ 10.58 Lakh,"46,851 km",CNG,Thane,2023
Honda WR-V VX,₹ 5.29 Lakh,"64,305 km",Diesel,Pune,2022
Mahindra XUV500 W8,₹ 8.37 Lakh,"97,108 km",Diesel,Hyderabad,2019
Hyundai Santro Sportz,₹ 1.83 Lakh,"81,160 km",Diesel,Mumbai,2017
Toyota Glanza G,₹ 8.94 Lakh,"79,865 km",Petrol,Hyderabad,2019
Mercedes-Benz C-Class C200,₹ 44.08 Lakh,"175,054 km",Diesel,Noida,2012
Audi A4 35 TDI,₹ 36.36 Lakh,"56,272 km",Diesel,Hyderabad,2021
Honda BR-V VX,₹ 1.20 Lakh,"167,113 km",Petrol,Thane,2012
Honda City VX,₹ 4.46 Lakh,"87,011 km",Petrol,Bangalore,2022
Toyota Corolla Altis G,₹ 6.89 Lakh,"122,377 km",Petrol,Chennai,2017
Hyundai Venue S,₹ 3.08 Lakh,"89,932 km",Diesel,Thane,2019
BMW X1 sDrive20d,₹ 36.65 Lakh,"140,365 km",Petrol,Kolkata,2015
Maruti Suzuki Alto 800 LXi,₹ 1.27 Lakh,"87,798 km",Diesel,Chennai,2019
BMW X1 sDrive20d,₹ 39.27 Lakh,"93,409 km",Diesel,Delhi,2019
Mercedes-Benz GLA 220d,₹ 51.83 Lakh,"67,194 km",Petrol,Chennai,2021
Audi Q3 Premium,₹ 35.53 Lakh,"76,280 km",Diesel,Thane,2019
Toyota Etios Liva G,₹ 8.30 Lakh,"88,556 km",Petrol,Chennai,2019
BMW 5 Series 520d,₹ 38.60 Lakh,"99,672 km",Petrol,Pune,2018
Honda WR-V VX,₹ 1.20 Lakh,"150,696 km",Petrol,Delhi,2013
Hyundai Santro Sportz,₹ 6.42 Lakh,"36,586 km",Petrol,Noida,2023
Audi Q3 Premium,₹ 36.93 Lakh,"57,546 km",Diesel,Chennai,2022
Kia Carens Prestige,₹ 2.42 Lakh,"188,934 km",Diesel,Delhi,2012
Toyota Fortuner 2.8 4x2,₹ 11.86 Lakh,"49,793 km",Diesel,Hyderabad,2022
Mahindra Scorpio S11,₹ 6.44 Lakh,"120,278 km",Petrol,Chennai,2017
Mercedes-Benz GLA 220d,₹ 52.82 Lakh,"59,407 km",Diesel,Noida,2022
Tata Nexon XZ+,₹ 1.20 Lakh,"146,035 km",Diesel,Ahmedabad,2014
Honda BR-V VX,₹ 5.31 Lakh,"73,127 km",Diesel,Delhi,2022
Maruti Suzuki Swift VXi,₹ 3.67 Lakh,"29,555 km",Diesel,Ahmedabad,2023
Tata Tiago XT,₹ 6.93 Lakh,"62,780 km",CNG,Delhi,2021
Honda Jazz VX,₹ 5.37 Lakh,"69,710 km",Diesel,Chennai,2021
BMW 5 Series 520d,₹ 37.00 Lakh,"126,522 km",Diesel,Thane,2016
Kia Seltos GTX,₹ 4.85 Lakh,"117,985 km",CNG,Pune,2016
Kia Carens Prestige,₹ 2.13 Lakh,"158,516 km",Petrol,Hyderabad,2012
Toyota Fortuner 2.8 4x2,₹ 6.16 Lakh,"123,511 km",Diesel,Chennai,2016
Kia Carens Prestige,₹ 10.60 Lakh,"46,881 km",Petrol,Thane,2023
Mahindra XUV500 W8,₹ 7.41 Lakh,"103,278 km",Petrol,Kolkata,2018
Mahindra Scorpio S11,₹ 7.37 Lakh,"98,306 km",CNG,Chennai,2018
Kia Sonet GTX,₹ 3.35 Lakh,"135,163 km",Petrol,Noida,2013
Mahindra XUV500 W8,₹ 6.36 Lakh,"118,550 km",Petrol,Hyderabad,2018
Kia Carens Prestige,₹ 3.23 Lakh,"152,796 km",Diesel,Hyderabad,2013
Honda City VX,₹ 4.45 Lakh,"83,299 km",CNG,Delhi,2020
Toyota Innova Crysta GX,₹ 6.44 Lakh,"109,857 km",Petrol,Hyderabad,2017
Tata Harrier XZ,₹ 1.73 Lakh,"127,038 km",CNG,Bangalore,2014
Hyundai Creta SX,₹ 5.70 Lakh,"32,903 km",CNG,Kolkata,2022
Mercedes-Benz GLA 220d,₹ 51.27 Lakh,"53,743 km",Petrol,Ahmedabad,2022
Hyundai Venue S,₹ 2.77 Lakh,"74,481 km",CNG,Mumbai,2019
Hyundai Elite i20 Sportz,₹ 2.52 Lakh,"73,267 km",Diesel,Mumbai,2019
Tata Nexon XZ+,₹ 6.78 Lakh,"68,519 km",CNG,Noida,2022
BMW X1 sDrive20d,₹ 41.69 Lakh,"59,227 km",Diesel,Kolkata,2020
Mercedes-Benz GLA 220d,₹ 46.91 Lakh,"131,076 km",Diesel,Mumbai,2015
Mahindra Scorpio S11,₹ 2.19 Lakh,"173,281 km",CNG,Bangalore,2013
BMW 5 Series 520d,₹ 40.26 Lakh,"70,016 km",Petrol,Pune,2020
Mahindra Scorpio S11,₹ 8.40 Lakh,"63,994 km",Petrol,Ahmedabad,2021
Hyundai Verna SX,₹ 5.77 Lakh,"46,081 km",CNG,Noida,2022
Mahindra XUV500 W8,₹ 9.84 Lakh,"70,979 km",CNG,Bangalore,2021
Tata Safari XZ+,₹ 1.34 Lakh,"125,598 km",Diesel,Thane,2014
Mahindra XUV500 W8,₹ 9.68 Lakh,"37,087 km",CNG,Thane,2022
Kia Carens Prestige,₹ 6.55 Lakh,"123,247 km",Petrol,Ahmedabad,2017
BMW 3 Series 320d,₹ 36.19 Lakh,"138,178 km",Diesel,Bangalore,2015
Hyundai Verna SX,₹ 3.69 Lakh,"89,687 km",Petrol,Ahmedabad,2020
Mercedes-Benz C-Class C200,₹ 50.93 Lakh,"43,583 km",Petrol,Bangalore,2021
Mercedes-Benz C-Class C200,₹ 53.39 Lakh,"29,590 km",Diesel,Kolkata,2023
BMW 3 Series 320d,₹ 41.37 Lakh,"81,711 km",Diesel,Pune,2020
BMW 3 Series 320d,₹ 38.57 Lakh,"106,208 km",Petrol,Kolkata,2017
Kia Carens Prestige,₹ 9.47 Lakh,"62,956 km",Diesel,Bangalore,2020
Mercedes-Benz C-Class C200,₹ 47.71 Lakh,"138,003 km",Petrol,Thane,2016
Audi A4 35 TDI,₹ 32.21 Lakh,"129,422 km",Diesel,Bangalore,2016
Audi A4 35 TDI,₹ 34.07 Lakh,"123,107 km",Petrol,Ahmedabad,2018
Kia Seltos GTX,₹ 6.30 Lakh,"115,365 km",CNG,Ahmedabad,2018
Hyundai Elite i20 Sportz,₹ 1.20 Lakh,"164,302 km",CNG,Ahmedabad,2015
Honda City VX,₹ 1.98 Lakh,"129,886 km",Diesel,Bangalore,2016
BMW 5 Series 520d,₹ 41.53 Lakh,"69,872 km",Petrol,Hyderabad,2021
Audi Q5 quattro,₹ 36.52 Lakh,"65,160 km",Petrol,Delhi,2021
Toyota Innova Crysta GX,₹ 3.24 Lakh,"172,962 km",CNG,Kolkata,2013
BMW X1 sDrive20d,₹ 40.77 Lakh,"80,700 km",Diesel,Thane,2020
Honda Amaze VX,₹ 2.28 Lakh,"112,193 km",CNG,Chennai,2018
Hyundai Verna SX,₹ 1.20 Lakh,"113,110 km",Petrol,Thane,2017
Audi Q5 quattro,₹ 28.98 Lakh,"162,554 km",Petrol,Ahmedabad,2012
Maruti Suzuki Vitara Brezza VDi,₹ 1.20 Lakh,"169,591 km",Diesel,Hyderabad,2013
Hyundai i10 Magna,₹ 4.17 Lakh,"63,997 km",Petrol,Ahmedabad,2021
Honda WR-V VX,₹ 7.70 Lakh,"30,256 km",Diesel,Bangalore,2023
Hyundai Santro Sportz,₹ 2.11 Lakh,"96,835 km",Petrol,Mumbai,2019
Tata Safari XZ+,₹ 4.94 Lakh,"78,854 km",Diesel,Pune,2020
Toyota Innova Crysta GX,₹ 6.81 Lakh,"115,432 km",CNG,Ahmedabad,2017
Mahindra Thar LX,₹ 7.66 Lakh,"98,138 km",CNG,Kolkata,2018
Kia Sonet GTX,₹ 4.65 Lakh,"134,925 km",CNG,Pune,2014
Kia Seltos GTX,₹ 7.05 Lakh,"101,335 km",CNG,Bangalore,2018
Mahindra XUV500 W8,₹ 3.79 Lakh,"156,275 km",Diesel,Noida,2013
Honda WR-V VX,₹ 2.62 Lakh,"121,866 km",Diesel,Mumbai,2017
Mahindra Scorpio S11,₹ 7.15 Lakh,"95,840 km",Petrol,Delhi,2018
Kia Sonet GTX,₹ 8.64 Lakh,"110,172 km",CNG,Bangalore,2020
Honda BR-V VX,₹ 6.28 Lakh,"53,624 km",Petrol,Hyderabad,2022
Mahindra Thar LX,₹ 7.21 Lakh,"97,867 km",CNG,Mumbai,2018
BMW 5 Series 520d,₹ 38.28 Lakh,"108,494 km",Diesel,Thane,2017
Mahindra Scorpio S11,₹ 4.46 Lakh,"126,656 km",Petrol,Delhi,2016
Honda WR-V VX,₹ 5.25 Lakh,"65,312 km",Diesel,Pune,2020
Toyota Corolla Altis G,₹ 5.79 Lakh,"135,047 km",CNG,Kolkata,2016
Honda City VX,₹ 3.66 Lakh,"97,860 km",Petrol,Ahmedabad,2019
Hyundai Verna SX,₹ 3.97 Lakh,"93,774 km",Diesel,Pune,2020
Honda Amaze VX,₹ 4.68 Lakh,"82,610 km",Petrol,Hyderabad,2020
Maruti Suzuki Vitara Brezza VDi,₹ 1.20 Lakh,"111,359 km",CNG,Ahmedabad,2020
Audi A4 35 TDI,₹ 36.06 Lakh,"68,305 km",Petrol,Kolkata,2021
Kia Carens Prestige,₹ 3.23 Lakh,"158,057 km",Petrol,Ahmedabad,2013
BMW 5 Series 520d,₹ 42.25 Lakh,"46,747 km",Diesel,Bangalore,2022
Maruti Suzuki Swift VXi,₹ 1.20 Lakh,"76,315 km",Petrol,Pune,2020
Mahindra Scorpio S11,₹ 4.78 Lakh,"120,805 km",Diesel,Delhi,2015
Audi Q3 Premium,₹ 30.35 Lakh,"172,502 km",Petrol,Noida,2014
Audi Q5 quattro,₹ 31.71 Lakh,"135,739 km",Diesel,Noida,2014
Mercedes-Benz E-Class E220d,₹ 50.97 Lakh,"56,371 km",Diesel,Mumbai,2021
Mercedes-Benz E-Class E220d,₹ 52.80 Lakh,"56,811 km",Diesel,Kolkata,2022
Audi Q3 Premium,₹ 36.16 Lakh,"68,164 km",Petrol,Kolkata,2022
Kia Sonet GTX,₹ 7.85 Lakh,"92,782 km",Diesel,Chennai,2019
Toyota Innova Crysta GX,₹ 10.62 Lakh,"66,867 km",Petrol,Ahmedabad,2021
Mahindra Scorpio S11,₹ 6.40 Lakh,"119,277 km",Diesel,Thane,2017
Mahindra XUV500 W8,₹ 7.48 Lakh,"88,020 km",Petrol,Pune,2019
Honda City VX,₹ 1.20 Lakh,"170,046 km",CNG,Chennai,2012
Honda Amaze VX,₹ 4.58 Lakh,"76,440 km",CNG,Ahmedabad,2021
Honda WR-V VX,₹ 4.49 Lakh,"52,867 km",Diesel,Mumbai,2020
Kia Carens Prestige,₹ 7.59 Lakh,"94,105 km",Petrol,Hyderabad,2019
Maruti Suzuki Alto 800 LXi,₹ 1.20 Lakh,"100,187 km",CNG,Kolkata,2016
Maruti Suzuki Swift VXi,₹ 1.20 Lakh,"101,796 km",Petrol,Pune,2018
Kia Sonet GTX,₹ 2.50 Lakh,"160,348 km",Petrol,Ahmedabad,2012
Hyundai Venue S,₹ 3.20 Lakh,"86,121 km",Diesel,Thane,2020
Mercedes-Benz GLA 220d,₹ 51.12 Lakh,"88,937 km",Petrol,Ahmedabad,2021
Mahindra Scorpio S11,₹ 5.78 Lakh,"135,144 km",Petrol,Hyderabad,2017
Kia Carens Prestige,₹ 2.50 Lakh,"179,252 km",Diesel,Kolkata,2012
Honda BR-V VX,₹ 4.97 Lakh,"78,829 km",Petrol,Ahmedabad,2020
Mahindra XUV500 W8,₹ 6.57 Lakh,"120,643 km",Diesel,Noida,2018
Audi Q5 quattro,₹ 35.07 Lakh,"87,840 km",Petrol,Kolkata,2019
Mahindra Thar LX,₹ 10.23 Lakh,"62,617 km",Diesel,Mumbai,2022
Tata Harrier XZ,₹ 7.44 Lakh,"48,916 km",Petrol,Noida,2023
Audi Q5 quattro,₹ 37.57 Lakh,"24,193 km",Diesel,Hyderabad,2023
Hyundai Creta SX,₹ 1.20 Lakh,"157,270 km",Diesel,Ahmedabad,2012
Kia Carens Prestige,₹ 5.53 Lakh,"119,474 km",Diesel,Mumbai,2015
Audi A4 35 TDI,₹ 35.16 Lakh,"88,063 km",Petrol,Kolkata,2020
Mahindra XUV500 W8,₹ 7.96 Lakh,"98,353 km",Diesel,Pune,2019
