car_name,car_price_in_rupees,kms_driven,fuel_type,city,year_of_manufacture
Hyundai Venue SX,₹ 11.19 Lakh,"101,065 km",Electric,Chennai,2018
Honda Jazz VX,₹ 3.18 Lakh,"156,069 km",Petrol,Delhi,2013
Ford Endeavour Titanium,₹ 7.35 Lakh,"121,974 km",Diesel,Bangalore,2016
MG Hector Sharp,₹ 9.47 Lakh,"153,150 km",Electric,Jaipur,2014
Kia Sonet GTX,₹ 9.43 Lakh,"105,348 km",Diesel,Mumbai,2019
Maruti Suzuki Dzire ZXi,₹ 1.35 Lakh,"207,119 km",Diesel,Hyderabad,2012
MG Astor Savvy,₹ 5.92 Lakh,"168,816 km",Diesel,Jaipur,2013
BMW X1 sDrive,₹ 52.56 Lakh,"58,538 km",Petrol,Hyderabad,2025
Mahindra Thar LX,₹ 10.31 Lakh,"87,276 km",Hybrid,Lucknow,2017
Honda Jazz VX,₹ 5.88 Lakh,"109,921 km",CNG,Lucknow,2018
Skoda Superb L&K,₹ 8.79 Lakh,"148,466 km",Diesel,Bangalore,2015
Tata Punch Creative,₹ 7.49 Lakh,"111,124 km",Petrol,Noida,2019
Hyundai i20 Asta,₹ 4.43 Lakh,"142,389 km",Petrol,Bangalore,2015
Honda BR-V VX,₹ 3.88 Lakh,"117,943 km",Diesel,Bangalore,2016
Honda Amaze VX,₹ 4.76 Lakh,"105,790 km",Diesel,Ahmedabad,2018
Skoda Superb L&K,₹ 8.82 Lakh,"181,033 km",CNG,Mumbai,2015
Lexus NX 350h,₹ 65.36 Lakh,"56,913 km",Petrol,Kolkata,2024
Mahindra XUV700 AX7,₹ 16.51 Lakh,"41,388 km",Diesel,Kochi,2025
Mercedes-Benz C-Class C200,₹ 46.24 Lakh,"49,351 km",Diesel,Thane,2020
Jaguar XE Prestige,₹ 24.91 Lakh,"175,436 km",Petrol,Delhi,2013
Hyundai Creta SX,₹ 9.33 Lakh,"59,871 km",Diesel,Hyderabad,2022
Maruti Suzuki Brezza ZXi,₹ 10.18 Lakh,"71,804 km",Electric,Delhi,2024
Honda BR-V VX,₹ 3.86 Lakh,"147,821 km",CNG,Lucknow,2016
Kia Seltos HTX,₹ 13.20 Lakh,"34,241 km",CNG,Delhi,2023
Skoda Slavia Style,₹ 13.80 Lakh,"53,830 km",Diesel,Hyderabad,2021
Mahindra Scorpio N Z8,₹ 6.98 Lakh,"113,959 km",Diesel,Mumbai,2016
Hyundai Verna SX,₹ 8.32 Lakh,"107,468 km",Hybrid,Delhi,2016
BMW 5 Series 530d,₹ 49.14 Lakh,"25,986 km",Petrol,Delhi,2023
Skoda Slavia Style,₹ 11.69 Lakh,"91,913 km",Petrol,Kolkata,2019
Mercedes-Benz E-Class E220d,₹ 33.30 Lakh,"99,601 km",Electric,Delhi,2016
Mercedes-Benz E-Class E220d,₹ 33.62 Lakh,"144,178 km",Petrol,Lucknow,2017
Toyota Fortuner 4x2,₹ 6.76 Lakh,"105,214 km",Petrol,Mumbai,2015
BMW X1 sDrive,₹ 34.90 Lakh,"94,488 km",Petrol,Kochi,2019
Ford EcoSport Titanium,₹ 13.07 Lakh,"14,202 km",Petrol,Ahmedabad,2025
Kia Carens Prestige,₹ 6.64 Lakh,"191,908 km",Electric,Chennai,2012
Honda BR-V VX,₹ 6.77 Lakh,"130,008 km",Petrol,Ahmedabad,2018
Hyundai i20 Asta,₹ 3.01 Lakh,"165,817 km",Petrol,Jaipur,2013
Mahindra XUV500 W8,₹ 9.79 Lakh,"115,565 km",Diesel,Mysuru,2016
Maruti Suzuki Brezza ZXi,₹ 3.88 Lakh,"88,113 km",Diesel,Kochi,2020
Jeep Compass Limited,₹ 25.47 Lakh,"70,433 km",Petrol,Bangalore,2021
Volvo XC40 Recharge,₹ 20.77 Lakh,"128,116 km",Petrol,Pune,2014
Volkswagen Taigun GT,₹ 12.47 Lakh,"59,471 km",Diesel,Delhi,2022
Tata Harrier XZ,₹ 5.26 Lakh,"162,629 km",Diesel,Mysuru,2015
MG Astor Savvy,₹ 8.84 Lakh,"137,676 km",Petrol,Hyderabad,2017
Tata Punch Creative,₹ 8.44 Lakh,"81,564 km",Petrol,Hyderabad,2020
Jaguar XE Prestige,₹ 20.38 Lakh,"177,960 km",Petrol,Noida,2012
Hyundai Verna SX,₹ 4.59 Lakh,"111,426 km",Diesel,Pune,2016
Mercedes-Benz GLA 200,₹ 49.19 Lakh,"66,765 km",Petrol,Hyderabad,2022
Jeep Compass Limited,₹ 29.12 Lakh,"3,000 km",CNG,Bangalore,2025
Jeep Compass Limited,₹ 27.38 Lakh,"62,998 km",Electric,Lucknow,2021
Audi Q3 Premium,₹ 20.68 Lakh,"142,448 km",Diesel,Hyderabad,2015
Toyota Urban Cruiser,₹ 6.39 Lakh,"161,152 km",Diesel,Hyderabad,2013
Hyundai i20 Asta,₹ 4.71 Lakh,"152,374 km",Diesel,Noida,2014
Toyota Glanza G,₹ 5.42 Lakh,"152,573 km",Petrol,Chennai,2013
Lexus ES 300h,₹ 23.12 Lakh,"219,015 km",Diesel,Kolkata,2012
MG Astor Savvy,₹ 14.92 Lakh,"83,295 km",Hybrid,Kochi,2020
Hyundai Creta SX,₹ 5.26 Lakh,"155,498 km",Diesel,Jaipur,2015
Honda Jazz VX,₹ 5.17 Lakh,"121,660 km",Petrol,Bangalore,2015
Jeep Compass Limited,₹ 26.95 Lakh,"22,416 km",Petrol,Bangalore,2022
Mercedes-Benz C-Class C200,₹ 26.78 Lakh,"129,965 km",Diesel,Hyderabad,2015
Skoda Slavia Style,₹ 16.13 Lakh,"70,325 km",Diesel,Mumbai,2021
BMW 5 Series 530d,₹ 49.44 Lakh,"80,690 km",Electric,Bangalore,2022
Mahindra Thar LX,₹ 4.48 Lakh,"186,398 km",Diesel,Mumbai,2012
Ford EcoSport Titanium,₹ 5.52 Lakh,"180,623 km",Petrol,Noida,2013
Hyundai i20 Asta,₹ 9.05 Lakh,"51,296 km",Diesel,Lucknow,2022
Ford Endeavour Titanium,₹ 6.99 Lakh,"159,628 km",Petrol,Ahmedabad,2014
Toyota Innova Crysta GX,₹ 10.06 Lakh,"110,594 km",Petrol,Lucknow,2018
Jeep Compass Limited,₹ 9.52 Lakh,"174,703 km",Diesel,Kolkata,2012
Renault Triber RXZ,₹ 4.06 Lakh,"82,586 km",Petrol,Ahmedabad,2019
Nissan Magnite XV,₹ 6.95 Lakh,"112,316 km",Electric,Chennai,2018
Honda Jazz VX,₹ 4.22 Lakh,"119,405 km",Petrol,Thane,2017
Ford Endeavour Titanium,₹ 11.31 Lakh,"160,209 km",Electric,Jaipur,2016
Honda City ZX,₹ 10.97 Lakh,"22,716 km",Petrol,Kolkata,2025
Audi Q3 Premium,₹ 41.54 Lakh,"33,874 km",Diesel,Kolkata,2024
Skoda Superb L&K,₹ 17.26 Lakh,"53,083 km",Petrol,Hyderabad,2024
Ford Endeavour Titanium,₹ 8.70 Lakh,"123,111 km",Diesel,Ahmedabad,2017
MG Astor Savvy,₹ 6.49 Lakh,"142,320 km",Diesel,Kolkata,2013
Ford EcoSport Titanium,₹ 7.56 Lakh,"145,750 km",Petrol,Delhi,2018
Jeep Compass Limited,₹ 28.80 Lakh,"10,272 km",Hybrid,Mumbai,2023
Jeep Compass Limited,₹ 24.65 Lakh,"80,216 km",Diesel,Mysuru,2021
Toyota Fortuner 4x2,₹ 8.55 Lakh,"121,683 km",Petrol,Chennai,2016
Volkswagen Virtus GT,₹ 9.96 Lakh,"94,218 km",Petrol,Thane,2019
Honda BR-V VX,₹ 6.98 Lakh,"143,503 km",Hybrid,Noida,2016
Toyota Urban Cruiser,₹ 4.65 Lakh,"194,347 km",CNG,Lucknow,2012
Renault Kwid Climber,₹ 2.33 Lakh,"142,247 km",Petrol,Bangalore,2016
Jaguar XE Prestige,₹ 27.66 Lakh,"140,922 km",Petrol,Chennai,2013
Maruti Suzuki Swift VXi,₹ 5.44 Lakh,"83,964 km",Diesel,Thane,2022
Hyundai i20 Asta,₹ 6.83 Lakh,"125,669 km",Petrol,Thane,2017
Kia Seltos HTX,₹ 14.64 Lakh,"31,434 km",Petrol,Jaipur,2025
Lexus NX 350h,₹ 29.98 Lakh,"175,251 km",Diesel,Delhi,2013
Volvo XC40 Recharge,₹ 42.09 Lakh,"88,695 km",Diesel,Jaipur,2022
Jeep Compass Limited,₹ 27.05 Lakh,"42,230 km",Petrol,Thane,2022
Jeep Compass Limited,₹ 9.37 Lakh,"219,656 km",CNG,Mysuru,2012
Kia Sonet GTX,₹ 13.53 Lakh,"10,478 km",Petrol,Mumbai,2023
Honda BR-V VX,₹ 11.59 Lakh,"94,148 km",Electric,Kolkata,2021
Mahindra XUV700 AX7,₹ 8.28 Lakh,"153,585 km",Electric,Delhi,2012
Renault Triber RXZ,₹ 4.60 Lakh,"73,803 km",Petrol,Pune,2020
Mercedes-Benz C-Class C200,₹ 19.99 Lakh,"182,207 km",CNG,Mysuru,2013
Hyundai Verna SX,₹ 5.75 Lakh,"131,202 km",Petrol,Jaipur,2017
Lexus ES 300h,₹ 57.48 Lakh,"60,847 km",Petrol,Lucknow,2022
Jaguar XE Prestige,₹ 20.85 Lakh,"165,565 km",Petrol,Noida,2012
Mahindra XUV500 W8,₹ 18.07 Lakh,"50,720 km",Electric,Lucknow,2023
Hyundai i20 Asta,₹ 3.89 Lakh,"155,213 km",Petrol,Kolkata,2013
Skoda Superb L&K,₹ 11.83 Lakh,"101,125 km",Petrol,Pune,2018
Audi A4 35 TDI,₹ 14.70 Lakh,"190,728 km",Petrol,Kolkata,2012
Lexus NX 350h,₹ 67.28 Lakh,"30,727 km",Petrol,Mumbai,2025
Audi Q5 quattro,₹ 29.95 Lakh,"100,416 km",Diesel,Bangalore,2020
Ford EcoSport Titanium,₹ 3.03 Lakh,"178,494 km",Diesel,Mysuru,2012
Honda City ZX,₹ 4.09 Lakh,"103,797 km",Petrol,Kolkata,2015
Tata Nexon XZ+,₹ 5.16 Lakh,"178,318 km",Petrol,Pune,2013
Volkswagen Taigun GT,₹ 5.88 Lakh,"132,571 km",Petrol,Kolkata,2014
Volkswagen Polo GT,₹ 10.73 Lakh,"83,373 km",Petrol,Ahmedabad,2020
Volkswagen Polo GT,₹ 12.91 Lakh,"135,316 km",Electric,Mumbai,2017
Volkswagen Virtus GT,₹ 15.26 Lakh,"8,873 km",Petrol,Lucknow,2024
Mercedes-Benz GLA 200,₹ 54.04 Lakh,"41,088 km",Electric,Delhi,2023
Nissan Magnite XV,₹ 4.80 Lakh,"117,730 km",Petrol,Pune,2016
Audi A4 35 TDI,₹ 18.86 Lakh,"166,156 km",Diesel,Bangalore,2014
Skoda Superb L&K,₹ 19.82 Lakh,"3,000 km",Petrol,Bangalore,2025
MG Hector Sharp,₹ 8.72 Lakh,"116,348 km",Diesel,Ahmedabad,2016
Renault Kwid Climber,₹ 1.20 Lakh,"129,279 km",Petrol,Bangalore,2014
Renault Kiger RXZ,₹ 1.20 Lakh,"167,805 km",Diesel,Noida,2013
Jaguar F-Pace,₹ 50.95 Lakh,"81,471 km",CNG,Mumbai,2021
MG ZS EV,₹ 7.36 Lakh,"166,803 km",Petrol,Delhi,2014
Volkswagen Taigun GT,₹ 16.38 Lakh,"33,755 km",Diesel,Noida,2024
Lexus NX 350h,₹ 56.19 Lakh,"72,726 km",Electric,Kochi,2021
Maruti Suzuki Swift VXi,₹ 2.92 Lakh,"159,987 km",Petrol,Bangalore,2012
Toyota Glanza G,₹ 12.35 Lakh,"66,384 km",Diesel,Hyderabad,2021
Kia Carens Prestige,₹ 10.99 Lakh,"53,770 km",Petrol,Thane,2021
Skoda Slavia Style,₹ 10.97 Lakh,"109,691 km",Diesel,Kochi,2016
Volvo XC40 Recharge,₹ 30.82 Lakh,"122,642 km",Petrol,Kochi,2018
Toyota Fortuner 4x2,₹ 7.66 Lakh,"117,322 km",Diesel,Delhi,2015
Volkswagen Polo GT,₹ 6.14 Lakh,"175,706 km",Petrol,Mysuru,2012
Volkswagen Taigun GT,₹ 15.05 Lakh,"80,751 km",Electric,Hyderabad,2022
Mercedes-Benz C-Class C200,₹ 26.07 Lakh,"153,139 km",Diesel,Mumbai,2014
Nissan Magnite XV,₹ 6.70 Lakh,"83,182 km",Petrol,Lucknow,2021
Volvo XC60,₹ 34.22 Lakh,"108,874 km",CNG,Ahmedabad,2019
Skoda Slavia Style,₹ 12.34 Lakh,"82,467 km",Diesel,Delhi,2018
Tata Nexon XZ+,₹ 7.75 Lakh,"186,427 km",Electric,Pune,2012
Maruti Suzuki Swift VXi,₹ 1.93 Lakh,"179,438 km",Petrol,Jaipur,2012
Honda City ZX,₹ 3.19 Lakh,"184,912 km",Petrol,Lucknow,2013
Honda BR-V VX,₹ 2.26 Lakh,"142,086 km",Petrol,Hyderabad,2013
Hyundai Creta SX,₹ 10.08 Lakh,"22,228 km",Petrol,Mumbai,2025
Kia Sonet GTX,₹ 7.34 Lakh,"92,540 km",Petrol,Chennai,2017
Volkswagen Taigun GT,₹ 4.91 Lakh,"174,318 km",Petrol,Thane,2012
Skoda Superb L&K,₹ 15.66 Lakh,"29,153 km",Petrol,Ahmedabad,2023
Mercedes-Benz C-Class C200,₹ 33.43 Lakh,"112,454 km",Diesel,Kochi,2017
Skoda Slavia Style,₹ 11.31 Lakh,"107,096 km",Petrol,Hyderabad,2018
Hyundai Creta SX,₹ 7.76 Lakh,"97,101 km",Diesel,Mumbai,2017
Jaguar F-Pace,₹ 61.92 Lakh,"23,206 km",Diesel,Thane,2025
Kia Carens Prestige,₹ 6.98 Lakh,"133,313 km",Diesel,Delhi,2015
Volvo XC40 Recharge,₹ 41.25 Lakh,"58,091 km",Petrol,Delhi,2022
Honda BR-V VX,₹ 8.46 Lakh,"70,077 km",Petrol,Noida,2022
Nissan Magnite XV,₹ 6.16 Lakh,"95,926 km",Petrol,Thane,2019
Lexus ES 300h,₹ 43.69 Lakh,"98,947 km",CNG,Kolkata,2017
Tata Altroz XZ,₹ 8.48 Lakh,"83,278 km",Diesel,Chennai,2019
Mahindra Scorpio N Z8,₹ 10.44 Lakh,"76,646 km",Diesel,Chennai,2019
Lexus ES 300h,₹ 63.37 Lakh,"24,282 km",Petrol,Hyderabad,2023
Renault Kwid Climber,₹ 6.43 Lakh,"136,506 km",Hybrid,Kochi,2015
Tata Harrier XZ,₹ 6.23 Lakh,"152,285 km",Petrol,Mumbai,2015
Skoda Kushaq Style,₹ 11.05 Lakh,"138,510 km",Petrol,Hyderabad,2016
Audi A4 35 TDI,₹ 13.18 Lakh,"202,206 km",Petrol,Mysuru,2012
Skoda Kushaq Style,₹ 5.08 Lakh,"193,395 km",Petrol,Kochi,2012
Jeep Compass Limited,₹ 30.69 Lakh,"41,046 km",Petrol,Kochi,2025
Jaguar XE Prestige,₹ 50.78 Lakh,"61,867 km",Petrol,Chennai,2022
Jeep Compass Limited,₹ 29.17 Lakh,"42,425 km",Petrol,Kochi,2024
Volkswagen Taigun GT,₹ 11.57 Lakh,"69,894 km",Petrol,Jaipur,2019
Tata Punch Creative,₹ 11.47 Lakh,"40,971 km",Petrol,Lucknow,2024
Toyota Glanza G,₹ 9.00 Lakh,"119,733 km",Diesel,Hyderabad,2016
Toyota Urban Cruiser,₹ 12.54 Lakh,"79,131 km",Petrol,Kolkata,2020
Renault Triber RXZ,₹ 3.16 Lakh,"80,995 km",Petrol,Jaipur,2017
Mercedes-Benz C-Class C200,₹ 52.27 Lakh,"69,370 km",Hybrid,Pune,2023
Nissan Magnite XV,₹ 2.28 Lakh,"196,680 km",Petrol,Kochi,2012
Jaguar F-Pace,₹ 28.06 Lakh,"167,565 km",Petrol,Kochi,2013
MG Astor Savvy,₹ 12.46 Lakh,"96,239 km",Diesel,Mysuru,2019
Kia Sonet GTX,₹ 13.53 Lakh,"67,203 km",Diesel,Hyderabad,2022
Mahindra Scorpio N Z8,₹ 14.84 Lakh,"36,601 km",CNG,Kolkata,2022
Volvo XC40 Recharge,₹ 46.19 Lakh,"8,528 km",CNG,Pune,2024
Nissan Magnite XV,₹ 4.03 Lakh,"97,076 km",CNG,Mysuru,2018
MG ZS EV,₹ 8.79 Lakh,"111,396 km",Petrol,Kolkata,2016
Honda Jazz VX,₹ 3.77 Lakh,"185,854 km",Petrol,Lucknow,2014
Ford EcoSport Titanium,₹ 10.36 Lakh,"66,698 km",CNG,Jaipur,2020
Maruti Suzuki Baleno Alpha,₹ 3.12 Lakh,"158,393 km",Petrol,Mumbai,2013
Tata Altroz XZ,₹ 8.09 Lakh,"106,660 km",Diesel,Hyderabad,2017
Volvo XC40 Recharge,₹ 41.08 Lakh,"89,102 km",Diesel,Jaipur,2021
Skoda Slavia Style,₹ 11.81 Lakh,"78,425 km",Diesel,Noida,2019
Audi Q5 quattro,₹ 17.72 Lakh,"152,727 km",Petrol,Mumbai,2013
BMW 5 Series 530d,₹ 24.34 Lakh,"149,215 km",Diesel,Hyderabad,2014
Maruti Suzuki Baleno Alpha,₹ 8.58 Lakh,"10,066 km",Diesel,Chennai,2025
Renault Kiger RXZ,₹ 4.80 Lakh,"131,078 km",Hybrid,Jaipur,2018
Renault Triber RXZ,₹ 6.83 Lakh,"82,294 km",Diesel,Pune,2022
Toyota Urban Cruiser,₹ 10.14 Lakh,"98,402 km",Diesel,Mumbai,2019
Jeep Compass Limited,₹ 18.00 Lakh,"139,888 km",Petrol,Mysuru,2017
Kia Sonet GTX,₹ 9.44 Lakh,"120,768 km",Petrol,Chennai,2018
Skoda Kushaq Style,₹ 12.01 Lakh,"126,589 km",Diesel,Chennai,2017
Renault Kwid Climber,₹ 5.72 Lakh,"41,835 km",Diesel,Delhi,2022
Ford Endeavour Titanium,₹ 5.54 Lakh,"132,128 km",Diesel,Bangalore,2014
Volvo XC60,₹ 33.85 Lakh,"68,794 km",Diesel,Ahmedabad,2020
Kia Sonet GTX,₹ 12.17 Lakh,"70,635 km",Diesel,Noida,2021
Lexus ES 300h,₹ 60.00 Lakh,"51,691 km",Diesel,Kochi,2022
Kia Seltos HTX,₹ 11.83 Lakh,"41,154 km",Petrol,Jaipur,2022
Hyundai Verna SX,₹ 9.34 Lakh,"15,230 km",Petrol,Jaipur,2024
Mahindra Scorpio N Z8,₹ 11.28 Lakh,"73,112 km",Petrol,Bangalore,2020
Jeep Compass Limited,₹ 22.42 Lakh,"59,265 km",Diesel,Bangalore,2019
Jeep Compass Limited,₹ 22.41 Lakh,"118,783 km",Diesel,Jaipur,2019
BMW 5 Series 530d,₹ 41.70 Lakh,"93,137 km",Petrol,Jaipur,2020
Maruti Suzuki Brezza ZXi,₹ 2.09 Lakh,"204,734 km",Hybrid,Lucknow,2012
Toyota Innova Crysta GX,₹ 11.77 Lakh,"95,568 km",Petrol,Kochi,2019
Audi Q5 quattro,₹ 36.99 Lakh,"48,212 km",Diesel,Kochi,2023
Honda Jazz VX,₹ 8.40 Lakh,"63,332 km",Diesel,Kolkata,2022
Volkswagen Virtus GT,₹ 18.24 Lakh,"52,234 km",Electric,Jaipur,2023
Honda BR-V VX,₹ 4.00 Lakh,"131,269 km",Petrol,Thane,2016
BMW X1 sDrive,₹ 17.47 Lakh,"160,250 km",Diesel,Kolkata,2012
Toyota Fortuner 4x2,₹ 13.73 Lakh,"98,128 km",Petrol,Mysuru,2022
Nissan Magnite XV,₹ 4.24 Lakh,"135,025 km",Petrol,Bangalore,2016
Lexus NX 350h,₹ 70.34 Lakh,"3,000 km",Diesel,Bangalore,2025
Skoda Superb L&K,₹ 12.15 Lakh,"119,381 km",Petrol,Ahmedabad,2018
MG Astor Savvy,₹ 8.17 Lakh,"127,999 km",Diesel,Pune,2016
Jeep Compass Limited,₹ 25.03 Lakh,"96,833 km",Diesel,Chennai,2021
Jaguar XE Prestige,₹ 38.86 Lakh,"115,378 km",Hybrid,Mysuru,2016
BMW 5 Series 530d,₹ 41.53 Lakh,"101,675 km",Diesel,Hyderabad,2020
MG Astor Savvy,₹ 13.19 Lakh,"81,646 km",Petrol,Ahmedabad,2021
Kia Sonet GTX,₹ 11.95 Lakh,"70,227 km",Petrol,Delhi,2021
Renault Kwid Climber,₹ 4.35 Lakh,"110,118 km",Petrol,Noida,2015
Mercedes-Benz E-Class E220d,₹ 40.69 Lakh,"81,921 km",Petrol,Delhi,2019
Renault Triber RXZ,₹ 5.70 Lakh,"69,531 km",Petrol,Mysuru,2021
Mahindra XUV500 W8,₹ 4.82 Lakh,"196,555 km",CNG,Pune,2012
Honda Amaze VX,₹ 5.02 Lakh,"108,192 km",Diesel,Pune,2017
Lexus ES 300h,₹ 26.36 Lakh,"219,655 km",CNG,Kolkata,2013
Volkswagen Taigun GT,₹ 8.91 Lakh,"177,491 km",Electric,Mysuru,2013
Lexus ES 300h,₹ 36.54 Lakh,"139,096 km",Hybrid,Ahmedabad,2016
Volvo XC60,₹ 53.39 Lakh,"8,385 km",Diesel,Kolkata,2025
Honda BR-V VX,₹ 3.68 Lakh,"163,884 km",Petrol,Hyderabad,2013
Mercedes-Benz E-Class E220d,₹ 24.45 Lakh,"146,476 km",Petrol,Mumbai,2014
MG Hector Sharp,₹ 6.13 Lakh,"218,005 km",Petrol,Noida,2012
Hyundai i20 Asta,₹ 11.21 Lakh,"18,657 km",Diesel,Kochi,2024
BMW 3 Series 320d,₹ 25.63 Lakh,"184,532 km",Electric,Jaipur,2013
Audi Q5 quattro,₹ 14.17 Lakh,"189,829 km",Petrol,Pune,2013
BMW 5 Series 530d,₹ 29.69 Lakh,"123,513 km",Electric,Bangalore,2014
Hyundai Venue SX,₹ 12.29 Lakh,"33,764 km",Petrol,Thane,2025
Mahindra Thar LX,₹ 5.46 Lakh,"181,863 km",Petrol,Delhi,2013
Ford Endeavour Titanium,₹ 14.60 Lakh,"14,034 km",Petrol,Delhi,2025
Mahindra Scorpio N Z8,₹ 7.27 Lakh,"141,007 km",Petrol,Mumbai,2015
Mahindra Scorpio N Z8,₹ 8.70 Lakh,"94,695 km",Petrol,Mumbai,2018
Jaguar F-Pace,₹ 36.59 Lakh,"122,667 km",Petrol,Kolkata,2017
Mercedes-Benz C-Class C200,₹ 53.48 Lakh,"44,812 km",Electric,Jaipur,2022
Skoda Slavia Style,₹ 11.44 Lakh,"131,457 km",Petrol,Chennai,2016
MG Hector Sharp,₹ 9.73 Lakh,"58,193 km",Petrol,Mumbai,2018
Skoda Slavia Style,₹ 15.51 Lakh,"90,485 km",Petrol,Mumbai,2022
Mercedes-Benz E-Class E220d,₹ 25.89 Lakh,"157,282 km",Petrol,Bangalore,2014
Jaguar XE Prestige,₹ 25.14 Lakh,"166,101 km",Petrol,Mumbai,2014
